,visit_id,name,num_nodes,num_edges,nodes_div_by_edges,edges_div_by_nodes,in_degree,out_degree,in_out_degree,ancestors,descendants,closeness_centrality,average_degree_connectivity,eccentricity,is_parent_script,is_ancestor_script,ascendant_has_ad_keyword,is_eval_or_function,descendant_of_eval_or_function,ascendant_script_has_eval_or_function,ascendant_script_has_fp_keyword,ascendant_script_length,num_get_storage,num_set_storage,num_get_cookie,num_set_cookie,num_script_predecessors,num_script_successors,num_requests_sent,num_requests_received,num_redirects_sent,num_redirects_rec,max_depth_redirect,indirect_in_degree,indirect_out_degree,indirect_ancestors,indirect_descendants,indirect_closeness_centrality,indirect_average_degree_connectivity,indirect_eccentricity,indirect_mean_in_weights,indirect_min_in_weights,indirect_max_in_weights,indirect_mean_out_weights,indirect_min_out_weights,indirect_max_out_weights,num_set_get_src,num_set_mod_src,num_set_url_src,num_get_url_src,num_set_get_dst,num_set_mod_dst,num_set_url_dst,num_get_url_dst,indirect_all_in_degree,indirect_all_out_degree,indirect_all_ancestors,indirect_all_descendants,indirect_all_closeness_centrality,indirect_all_average_degree_connectivity,indirect_all_eccentricity,content_policy_type,url_length,is_subdomain,is_valid_qs,is_third_party,base_domain_in_query,semicolon_in_query,screen_size_present,ad_size_present,ad_size_in_qs_present,keyword_raw_present,keyword_char_present
0,3063639692373196,https://www.synopsys.com/,312,628,0.4968152866242038,2.0128205128205128,1,115,116,0,308,0.0,5.939655172413793,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,114,1,11,0,0,3,3,24,18,0.08951048951048951,1.4285714285714286,2,1.3333333333333333,1.0,2.0,3.2777777777777777,1.0,4.0,0,0,0,18,0,0,3,0,4,4,28,308,0.04422632143058611,17.7007299270073,-1,main_frame,25,1,1,0,0,0,0,0,0,0,0
0,3063639692373196,https://assets.adobedtm.com/79b3942b8dfa/59af1e6a08aa/launch-44cc9b8559b8.min.js?ts=168667,312,628,0.4968152866242038,2.0128205128205128,1,61,62,1,101,0.003215434083601286,5.451612903225806,-1,0,0,0,0,0,0,0,0,828,121,660,30,0,0,8,1,0,0,0,24,24,23,143,0.16083916083916083,11.133333333333333,2,2.6285714285714286,1.0,17.0,1.6645962732919255,1.0,17.0,24,10,126,1,24,10,1,0,25,25,28,308,0.07202572347266882,13.294117647058824,-1,script,90,0,1,1,0,0,0,0,0,1,1
0,3063639692373196,https://www.synopsys.com/etc.clientlibs/synopsys/clientlibs/custom-jquery.min.d427b76f1da5b9be60fc42345f4e465a.js,312,628,0.4968152866242038,2.0128205128205128,1,50,51,1,50,0.003215434083601286,0.9803921568627451,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,24,0,0.08951048951048951,0.0,3,1.3333333333333333,1.0,2.0,-1.0,-1.0,-1.0,0,0,0,0,0,0,3,0,4,4,29,50,0.04662379421221865,0.9259259259259259,-1,script,113,1,1,0,0,0,0,0,0,0,0
0,3063639692373196,https://connect.facebook.net/en_US/fbevents.js,312,628,0.4968152866242038,2.0128205128205128,2,3,5,3,6,0.0072347266881028945,20.46086956521739,-1,0,1,1,0,0,1,1,415287,1,0,0,0,0,0,0,1,0,0,0,1,1,24,0,0.08570153251004314,0.0,3,2.0,2.0,2.0,-1.0,-1.0,-1.0,0,0,0,0,0,0,1,0,3,3,30,6,0.045217041800643086,0.6666666666666666,-1,script,46,0,1,1,0,0,0,0,0,0,0
0,3063639692373196,https://s2.go-mpulse.net/boomerang/NF6LE-XXX7A-MEUWY-9UVCB-RT7NF,312,628,0.4968152866242038,2.0128205128205128,2,16,18,2,16,0.006430868167202572,13.296296296296296,-1,0,0,0,0,0,0,0,0,16,4,13,3,0,0,0,1,0,0,0,22,22,23,143,0.14797202797202796,14.657142857142857,3,2.72,1.0,3.0,1.2,1.0,3.0,12,2,1,0,22,2,1,0,24,24,28,308,0.06463846978316432,17.79245283018868,-1,script,64,0,1,1,0,0,0,0,0,0,0
0,3063639692373196,https://cdn.cookielaw.org/scripttemplates/otSDKStub.js,312,628,0.4968152866242038,2.0128205128205128,1,6,7,1,6,0.003215434083601286,6.1098901098901095,-1,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,1,0,0,0,21,21,24,0,0.14918414918414918,0.0,3,2.8636363636363638,1.0,3.0,-1.0,-1.0,-1.0,0,0,0,0,21,0,1,0,22,22,29,6,0.06288790847229492,4.821428571428571,-1,script,54,0,1,1,0,0,0,0,0,0,0
0,3063639692373196,https://cdn.cookielaw.org/scripttemplates/6.27.0/otBannerSdk.js,312,628,0.4968152866242038,2.0128205128205128,1,24,25,1,24,0.003215434083601286,8.52,-1,0,0,0,0,0,0,0,0,91,4,91,4,0,0,0,1,0,0,0,23,23,23,143,0.15413752913752915,12.547169811320755,2,2.72,1.0,3.0,1.934782608695652,1.0,4.0,11,1,80,0,23,1,1,0,24,24,28,308,0.06463846978316432,16.31297709923664,-1,script,63,0,1,1,0,0,0,0,0,1,0
0,3063639692373196,https://www.synopsys.com/etc.clientlibs/synopsys/clientlibs/synopsys-pagelibs.min.a01fc7a31f9dc0b3c58265dad5b86f9b.js,312,628,0.4968152866242038,2.0128205128205128,1,15,16,1,16,0.003215434083601286,12.375,-1,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,1,0,0,0,24,24,24,0,0.16783216783216784,0.0,3,2.6153846153846154,1.0,3.0,-1.0,-1.0,-1.0,0,0,0,0,23,0,3,0,25,25,29,16,0.07511611289746338,5.3,-1,script,117,1,1,0,0,0,0,0,0,1,0
0,3063639692373196,https://js.adsrvr.org/up_loader.1.1.0.js,312,628,0.4968152866242038,2.0128205128205128,2,3,5,3,3,0.0072347266881028945,20.46086956521739,-1,0,1,1,0,0,1,1,415287,2,0,2,0,0,0,0,1,0,0,0,6,6,30,0,0.11655011655011656,0.0,3,2.0,2.0,2.0,-1.0,-1.0,-1.0,0,0,0,0,5,0,1,0,8,8,55,3,0.06316031235645383,1.3636363636363635,-1,script,40,0,1,1,0,0,0,0,0,1,1
0,3063639692373196,https://static.cloud.coveo.com/atomic/v2/p-4f170369.js,312,628,0.4968152866242038,2.0128205128205128,1,1,2,1,1,0.003215434083601286,1.7166666666666666,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,24,0,0.08570153251004314,0.0,3,1.0,1.0,1.0,-1.0,-1.0,-1.0,0,0,0,0,0,0,1,0,2,2,29,1,0.04292349308426478,0.3333333333333333,-1,script,54,0,1,1,0,0,0,0,0,0,0
